Survived,Name,Sex,Age,SibSp,Parch,Fare
No,"Sirota, Mr. Maurice",male,,0,0,8.05
Yes,"Chip, Mr. Chang",male,32,0,0,56.4958
Yes,"Marechal, Mr. Pierre",male,,0,0,29.7
No,"Alhomaki, Mr. Ilmari Rudolf",male,20,0,0,7.925
No,"Mudd, Mr. Thomas Charles",male,16,0,0,10.5
Yes,"Serepeca, Miss. Augusta",female,30,0,0,31
No,"Lemberopolous, Mr. Peter L",male,34.5,0,0,6.4375
No,"Culumovic, Mr. Jeso",male,17,0,0,8.6625
No,"Abbing, Mr. Anthony",male,42,0,0,7.55
No,"Sage, Mr. Douglas Bullen",male,,8,2,69.55
No,"Markoff, Mr. Marin",male,35,0,0,7.8958
No,"Harper, Rev. John",male,28,0,1,33
Yes,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,1,0,89.1042
No,"Andersson, Master. Sigvard Harald Elias",male,4,4,2,31.275
No,"Svensson, Mr. Johan",male,74,0,0,7.775
No,"Boulos, Miss. Nourelain",female,9,1,1,15.2458
Yes,"Lines, Miss. Mary Conover",female,16,0,1,39.4
No,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44,1,0,26
Yes,"Aks, Mrs. Sam (Leah Rosen)",female,18,0,1,9.35
Yes,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45,1,1,164.8667
Yes,"Daly, Mr. Peter Denis ",male,51,0,0,26.55
Yes,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24,0,3,19.2583
No,"Razi, Mr. Raihed",male,,0,0,7.2292
No,"Hansen, Mr. Claus Peter",male,41,2,0,14.1083
No,"Giles, Mr. Frederick Edward",male,21,1,0,11.5
Yes,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48,0,0,25.9292
No,"Sage, Miss. Dorothy Edith ""Dolly""",female,,8,2,69.55
No,"Gill, Mr. John William",male,24,0,0,13
Yes,"Bystrom, Mrs. (Karolina)",female,42,0,0,13
Yes,"Duran y More, Miss. Asuncion",female,27,1,0,13.8583
No,"Roebling, Mr. Washington Augustus II",male,31,0,0,50.4958
No,"van Melkebeke, Mr. Philemon",male,,0,0,9.5
Yes,"Johnson, Master. Harold Theodor",male,4,1,1,11.1333
No,"Balkic, Mr. Cerin",male,26,0,0,7.8958
Yes,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,52.5542
No,"Carlsson, Mr. Frans Olof",male,33,0,0,5
No,"Vander Cruyssen, Mr. Victor",male,47,0,0,9
Yes,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28,1,0,24
Yes,"Najib, Miss. Adele Kiamie ""Jane""",female,15,0,0,7.225
No,"Gustafsson, Mr. Alfred Ossian",male,20,0,0,9.8458
No,"Petroff, Mr. Nedelio",male,19,0,0,7.8958
No,"Laleff, Mr. Kristo",male,,0,0,7.8958
Yes,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56,0,1,83.1583
Yes,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25,0,1,26
No,"Markun, Mr. Johann",male,33,0,0,7.8958
No,"Dahlberg, Miss. Gerda Ulrika",female,22,0,0,10.5167
No,"Banfield, Mr. Frederick James",male,28,0,0,10.5
No,"Sutehall, Mr. Henry Jr",male,25,0,0,7.05
No,"Rice, Mrs. William (Margaret Norton)",female,39,0,5,29.125
No,"Montvila, Rev. Juozas",male,27,0,0,13
Yes,"Graham, Miss. Margaret Edith",female,19,0,0,30
No,"Johnston, Miss. Catherine Helen ""Carrie""",female,,1,2,23.45
Yes,"Behr, Mr. Karl Howell",male,26,0,0,30
No,"Dooley, Mr. Patrick",male,32,0,0,7.75
